Feature_Id|Name|Application_Id|Plan_Id|Is_SaaS
cash-drawer-history|Cash Drawer History logs|cash-drawers|1|0
cash-drawers|Cash Drawers sessions|cash-drawers|1|0
cash-transactions|Cash Transactions journal|cash-drawers|1|0
shift-assignment|Shift Assignment matrix|shifts|2|0
shifts|Shifts Scheduler|shifts|2|0
tip-movements|Tip movements history|tips|2|0
tip-pool-members|Tip pool members layout|tips|2|0
tip-settlements|Tip settlements engine|tips|2|0
tips|Tips Ledger Core|tips|2|0
tips-allocations|Tips Allocations formulas|tips|2|0
tips-pools|Tips pools rules|tips|2|0
reservations|Reservations Calendar Book|reservations|2|0
reservation-guests|Reservation Guests CRM profiles|reservations|3|0
reservation-notes|Reservation Notes logs|reservations|2|0
reservation-status-history|Reservation Status History|reservations|2|0
reservation-tables|Reservation Tables Assignment|reservations|2|0
table-turnover|Aun por definir|table-turnover|2|0
delivery-assignments|Delivery Assignments matrix|delivery-management|2|0
delivery-drivers|Delivery Drivers console|delivery-management|2|0
delivery-fees|Delivery Fees tier rules|delivery-management|2|0
delivery-tracking|Delivery Tracking Map|delivery-management|2|0
delivery-zones|Delivery Zones Geofencing|delivery-management|2|0
online-delivery-info|Online Delivery Info configurations|online-ordering|2|0
online-menu-categories|Online Menu Categories structure|online-ordering|2|0
online-menu-items|Online Menu Items catalog|online-ordering|2|0
online-menus|Online Menus custom publish|online-ordering|2|0
online-order-items|Online Order Items cart|online-ordering|1|0
online-orders|Online Orders dispatch engine|online-ordering|1|0
online-payments|Online Payments Gateway integrations|online-ordering|2|0
online-stores|Online Stores Web Portal templates|online-ordering|2|0
qr-code-locations|QR Code Locations anchors|qr-code|2|0
qr-code-menu-items|QR Code Menu Items routing|qr-code|2|0
qr-code-menu-sections|QR Code Menu Sections|qr-code|2|0
qr-code-menus|QR Code Menus deployment|qr-code|2|0
qr-code-orders|QR Code Orders dispatch link|qr-code|2|0
qr-order-items|QR Order Items parsing|qr-code|2|0
loyalty-customers|Loyalty customers profiles|loyalty-system|3|0
loyalty-coupons|Loyalty coupons engine|loyalty-system|3|0
loyalty-point-transactions|Loyalty point transactions ledger|loyalty-system|3|0
loyalty-programs|Loyalty Programs parameters|loyalty-system|3|0
loyalty-rewards|Loyalty rewards catalogue|loyalty-system|3|0
loyalty-rewards-redemptions|Loyalty rewards redemptions engine|loyalty-system|3|0
loyalty-tiers|Loyalty tiers structure|loyalty-system|3|0
marketing-automation|Marketing Automation CRM workflows|marketing-system|3|0
marketing-automation-action|Marketing Automation Trigger Actions|marketing-system|3|0
marketing-campaign|Marketing Campaign manager|marketing-system|3|0
marketing-campaign-audience|Marketing Campaign Audience lists|marketing-system|3|0
marketing-coupon|Marketing Coupon definitions|marketing-system|3|0
marketing-coupon-redemption|Marketing Coupon Redemption logs|marketing-system|3|0
marketing-message-log|Marketing Message Dispatch Logs|marketing-system|3|0
marketing-segment|Marketing Dynamic Segments|marketing-system|3|0
marketing-segment-rule|Marketing Segment Rule builder|marketing-system|3|0
